 ,GSDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Status,Data Superseded,Superseded by UID No,Test Engine Status,Data corr as Annex 16,Current Engine Status,Current Engine Status Date,HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),HC Number Test,HC Number Eng,HC Dp/Foo Avg (g/kN),HC Dp/Foo Sigma (g/kN),HC Dp/Foo Min (g/kN),HC Dp/Foo Max (g/kN),HC Dp/Foo Characteristic (g/kN),HC Dp/Foo Characteristic (% of Reg limit) ,HC LTO Total mass (g),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),CO Number Test,CO Number Eng,CO Dp/Foo Avg (g/kN),CO Dp/Foo Sigma (g/kN),CO Dp/Foo Min (g/kN),CO Dp/Foo Max (g/KN),CO Dp/Foo Characteristic (g/kN),CO Dp/Foo Characteristic (% of Reg limit) ,CO LTO Total Mass (g),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),NOx Number Test,NOx Number Eng,NOx Dp/Foo Avg (g/kN),NOx Dp/Foo Sigma (g/kN),NOx Dp/Foo Min (g/kN),NOx Dp/Foo Max (g/kN),NOx Dp/Foo Characteristic (g/kN),NOx Dp/Foo Characteristic (% of original standard) ,NOx Dp/Foo Characteristic (% of CAEP/2 standard),NOx Dp/Foo Characteristic (% of CAEP/4 standard),NOx Dp/Foo Characteristic (% of CAEP/6 standard),NOx Dp/Foo Characteristic (% of CAEP/8 standard),NOx Compliance Demonstration §,NOx LTO Total mass (g),SN T/O,SN C/O,SN App,SN Idle,SN Number Test,SN Number Eng,SN Max,SN Sigma,SN Range Min,SN Range Max,SN Characteristic,SN Characteristic (% of Reg limit),Fuel Spec,Fuel H/C Ratio Min,Fuel H/C Ratio Max,Fuel Arom Min (%),Fuel Arom Max (%),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Loads Power Extraction (kW),Loads Power Extraction @Power,Loads Stage Bleed CF (%),Loads Stage Bleed @Power,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Compliance with fuel venting requirements,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P18RR103,18,Rolls-Royce plc,Trent 970-84,Phase5 Tiled,TF,8.5,38.0,338.7,C,,,DTEPS,Yes,,,0.02,0.12,0.08,0.04,6,3,0.2,0.1,0.13,0.26,0.2,1.1,65,0.32,0.31,1.16,13.38,6,3,16.7,1.8,15.2,18.62,18.0,15.3,5650,38.29,29.42,12.09,5.44,6,3,49.7,1.9,47.9,51.66,52.6,45.4,56.7,63.4,70.2,79.6,2.3.2 e),16826,6.1,6.4,3,0.6,6,3,7.1,2.7,5.2,9,8.3,49.1,,1.88,1.88,18.2,18.2,2.605,2.157,0.720,0.255,965,0,,0,,99.7,101.9,276.6,286.7,0.00243,0.01133,Rolls-Royce,Derby,17/10/2003,26/04/2016,Yes,Data from Certification Report EDNS01000588914 Iss 1,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P18RR104,18,Rolls-Royce plc,Trent 972-84,Phase5 Tiled,TF,8.4,38.7,345.9,C,,,DTEPS,Yes,,,0.01,0.11,0.07,0.04,6,3,0.2,0.1,0.13,0.24,0.2,1,60,0.32,0.31,1.1,13,6,3,16.1,1.7,14.64,17.93,17.4,14.7,5557,39.78,30.36,12.23,5.51,6,3,51.2,1.9,49.39,53.2,54.2,46.2,57.7,64.2,71,80.3,2.3.2 e),17699,6.1,6.4,3.2,0.6,6,3,7.1,2.7,5.2,9,8.3,49.4,,1.88,1.88,18.2,18.2,2.672,2.210,0.735,0.258,983,0,,0,,99.7,101.9,276.6,286.7,0.00243,0.01133,Rolls-Royce,Derby,17/10/2003,26/04/2016,Yes,Data from Certification Report EDNS01000588914 Iss 1,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P18RR105,18,Rolls-Royce plc,Trent 972E-84,Phase5 Tiled,TF,8.4,38.7,345.9,C,,,DTEPS,Yes,,,0.01,0.11,0.07,0.04,6,3,0.2,0.1,0.13,0.24,0.2,1,60,0.32,0.31,1.1,13,6,3,16.1,1.7,14.64,17.93,17.4,14.7,5557,39.78,30.36,12.23,5.51,6,3,51.2,1.9,49.39,53.2,54.2,46.2,57.7,64.2,71,80.3,2.3.2 e),17699,6.1,6.4,3.2,0.6,6,3,7.1,2.7,5.2,9,8.3,49.4,,1.88,1.88,18.2,18.2,2.672,2.210,0.735,0.258,983,0,,0,,99.7,101.9,276.6,286.7,0.00243,0.01133,Rolls-Royce,Derby,17/10/2003,26/04/2016,Yes,Data from Certification Report EDNS01000588914 Iss 1,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
02P23RR126,23,Rolls-Royce plc,Trent 1000-AE3,Phase5 Tiled,TF,9.1,43.2,310.9,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.43,0.41,0.71,7.40,18,8,9.9,1.8,6.33,12.23,10.4,8.8,3068,48.25,36.92,13.66,5.53,18,8,58.6,0.8,57.68,59.71,60.7,48.0,60.0,65.0,71.1,79.4,2.3.2 e),18221,9.6,12.7,8.5,2.0,18,8,14.7,2.0,11.4,16.7,16.4,94.5,,1.92,1.92,16.9,16.9,2.327,1.908,0.643,0.244,884,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR127,23,Rolls-Royce plc,Trent 1000-CE3,Phase5 Tiled,TF,9.0,46.0,334.7,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.42,0.42,0.61,6.51,18,8,8.5,1.7,5.47,10.65,9.0,7.6,2860,55.28,41.46,14.26,5.79,18,8,65.8,0.8,64.73,66.95,68.2,51.6,64.6,68.9,74.9,83.0,2.3.2 e),22034,8.2,11.4,9.3,1.9,18,8,14.7,2.0,11.4,16.7,16.4,96.4,,1.92,1.92,16.9,16.9,2.556,2.090,0.687,0.256,947,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR128,23,Rolls-Royce plc,Trent 1000-D3,Phase5 Tiled,TF,9.0,46.0,334.7,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.42,0.42,0.61,6.51,18,8,8.5,1.7,5.47,10.65,9.0,7.6,2860,55.28,41.46,14.26,5.79,18,8,65.8,0.8,64.73,66.95,68.2,51.6,64.6,68.9,74.9,83.0,2.3.2 e),22034,8.2,11.4,9.3,1.9,18,8,14.7,2.0,11.4,16.7,16.4,96.4,,1.92,1.92,16.9,16.9,2.556,2.090,0.687,0.256,947,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR129,23,Rolls-Royce plc,Trent 1000-G3,Phase5 Tiled,TF,9.1,44.7,323.7,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.43,0.42,0.65,6.90,18,8,9.1,1.7,5.84,11.33,9.6,8.1,2951,51.93,39.30,13.98,5.67,18,8,62.4,0.8,61.46,63.48,64.6,49.9,62.4,67.0,73.1,81.2,2.3.2 e),20196,8.8,12.0,8.9,2.0,18,8,14.7,2.0,11.4,16.7,16.4,95.5,,1.92,1.92,16.9,16.9,2.449,2.005,0.667,0.250,918,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR130,23,Rolls-Royce plc,Trent 1000-H3,Phase5 Tiled,TF,9.3,40.3,287.1,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.43,0.38,0.83,8.39,18,8,11.4,2.1,7.40,14.10,12.0,10.2,3286,42.14,32.83,13.04,5.29,18,8,52.3,0.9,50.90,53.47,54.2,44.9,56.1,61.8,68.0,76.5,2.3.2 e),15026,11.1,13.8,7.7,2.2,18,8,14.7,2.0,11.4,16.7,16.4,92.4,,1.92,1.92,16.9,16.9,2.108,1.732,0.598,0.232,823,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR131,23,Rolls-Royce plc,Trent 1000-J3,Phase5 Tiled,TF,8.9,48.0,350.9,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.37,0.43,0.55,6.01,18,8,7.8,1.6,5.03,9.78,8.2,6.9,2737,60.68,44.92,14.68,5.97,18,8,71.4,1.1,69.37,72.61,74.0,54.4,68.0,71.9,78.0,86.0,2.3.2 e),25064,7.7,10.4,9.8,1.8,18,8,14.7,2.0,11.4,16.7,16.4,97.7,,1.92,1.92,16.9,16.9,2.721,2.217,0.719,0.264,991,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR132,23,Rolls-Royce plc,Trent 1000-K3,Phase5 Tiled,TF,8.9,48.0,350.9,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.37,0.43,0.55,6.01,18,8,7.8,1.6,5.03,9.78,8.2,6.9,2737,60.68,44.92,14.68,5.97,18,8,71.4,1.1,69.37,72.61,74.0,54.4,68.0,71.9,78.0,86.0,2.3.2 e),25064,7.7,10.4,9.8,1.8,18,8,14.7,2.0,11.4,16.7,16.4,97.7,,1.92,1.92,16.9,16.9,2.721,2.217,0.719,0.264,991,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR133,23,Rolls-Royce plc,Trent 1000-L3,Phase5 Tiled,TF,9.0,46.0,334.7,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.42,0.42,0.61,6.51,18,8,8.5,1.7,5.47,10.65,9.0,7.6,2860,55.28,41.46,14.26,5.79,18,8,65.8,0.8,64.73,66.95,68.2,51.6,64.6,68.9,74.9,83.0,2.3.2 e),22034,8.2,11.4,9.3,1.9,18,8,14.7,2.0,11.4,16.7,16.4,96.4,,1.92,1.92,16.9,16.9,2.556,2.090,0.687,0.256,947,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR134,23,Rolls-Royce plc,Trent 1000-M3,Phase5 Tiled,TF,8.9,48.8,358.1,C,,,DTEPS,Yes,,,0,0,0,0,14,6,0,0,0,0,0,0,0,0.44,0.43,0.54,6.08,14,6,7.8,1.3,6.54,9.43,8.3,7.0,2807,64.41,46.59,14.74,6.17,14,6,74.6,0.9,73.24,75.47,77.7,56.5,70.6,74.3,80.5,88.6,2.3.2 e),26725,7.6,10.0,10.0,1.8,14,6,14.7,2.0,11.4,16.7,16.4,98.2,,1.92,1.92,16.9,16.9,2.802,2.274,0.732,0.267,1010,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR135,23,Rolls-Royce plc,Trent 1000-N3,Phase5 Tiled,TF,8.9,48.8,358.1,C,,,DTEPS,Yes,,,0,0,0,0,14,6,0,0,0,0,0,0,0,0.44,0.43,0.54,6.08,14,6,7.8,1.3,6.54,9.43,8.3,7.0,2807,64.41,46.59,14.74,6.17,14,6,74.6,0.9,73.24,75.47,77.7,56.5,70.6,74.3,80.5,88.6,2.3.2 e),26725,7.6,10.0,10.0,1.8,14,6,14.7,2.0,11.4,16.7,16.4,98.2,,1.92,1.92,16.9,16.9,2.802,2.274,0.732,0.267,1010,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR136,23,Rolls-Royce plc,Trent 1000-P3,Phase5 Tiled,TF,9.0,46.0,334.7,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.42,0.42,0.61,6.51,18,8,8.5,1.7,5.47,10.65,9.0,7.6,2860,55.28,41.46,14.26,5.79,18,8,65.8,0.8,64.73,66.95,68.2,51.6,64.6,68.9,74.9,83.0,2.3.2 e),22034,8.2,11.4,9.3,1.9,18,8,14.7,2.0,11.4,16.7,16.4,96.4,,1.92,1.92,16.9,16.9,2.556,2.090,0.687,0.256,947,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR137,23,Rolls-Royce plc,Trent 1000-Q3,Phase5 Tiled,TF,8.9,48.0,350.9,C,,,DTEPS,Yes,,,0,0,0,0,18,8,0,0,0,0,0,0,0,0.37,0.43,0.55,6.01,18,8,7.8,1.6,5.03,9.78,8.2,6.9,2737,60.68,44.92,14.68,5.97,18,8,71.4,1.1,69.37,72.61,74.0,54.4,68.0,71.9,78.0,86.0,2.3.2 e),25064,7.7,10.4,9.8,1.8,18,8,14.7,2.0,11.4,16.7,16.4,97.7,,1.92,1.92,16.9,16.9,2.721,2.217,0.719,0.264,991,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
02P23RR138,23,Rolls-Royce plc,Trent 1000-R3,Phase5 Tiled,TF,8.9,49.6,363.9,C,,,DTEPS,Yes,,,0,0,0,0,14,6,0,0,0,0,0,0,0,0.43,0.43,0.53,5.92,14,6,7.6,1.2,6.32,9.17,8.0,6.8,2769,67.29,47.89,14.89,6.24,14,6,77.2,0.9,75.86,77.98,80.3,57.8,72.2,75.7,81.9,90.0,2.3.2 e),28077,7.8,9.7,10.2,1.8,14,6,14.7,2.0,11.4,16.7,16.4,98.6,,1.92,1.92,16.9,16.9,2.872,2.322,0.744,0.270,1027,0,,0,,98.9,102.1,280.4,303.5,0.00308,0.01917,Rolls-Royce plc,Derby,24/09/2009,28/08/2019,Yes,Representative of Trent 1000-TEN engines,EDNS01000935986,,,,,,
04P24RR144,24,Rolls-Royce plc,Trent7000-68,Phase5 Tiled (Improved nvPM combustor),TF,9.2,42.3,308.7,C,,,DTEPS,Yes,,,0,0,0,0,5,3,0,0,0,0,0,0,0,0.42,0.49,0.92,7.93,5,3,10.9,1.4,9.69,12.41,11.8,10.0,3355,47.58,36.53,14.54,5.85,5,3,58.7,1.4,57.88,60.22,62.1,49.9,62.3,67.9,74.4,83.2,2.3.2 e),18110,7.5,9.4,3.8,1.7,5,3,10,1.6,8.6,11.7,11.0,63.3,,1.94,1.94,15.8,15.8,2.294,1.881,0.631,0.247,881,0,,0,,100.2,101.6,291.4,299.6,0.00473,0.00986,Rolls-Royce plc,Derby,06/05/2020,26/08/2020,Yes,EDNS01000945619,Improved nvPM combustor,,,,,,
04P24RR145,24,Rolls-Royce plc,Trent7000-70,Phase5 Tiled (Improved nvPM combustor),TF,9.1,43.4,317.8,C,,,DTEPS,Yes,,,0,0,0,0,5,3,0,0,0,0,0,0,0,0.37,0.50,0.86,7.47,5,3,10.2,1.4,9.04,11.66,11.0,9.3,3228,50.14,38.16,14.79,5.95,5,3,61.2,1.5,60.32,62.95,64.9,51.2,64.0,69.2,75.7,84.4,2.3.2 e),19458,7.1,9.1,4.0,1.7,5,3,10,1.6,8.6,11.7,11.0,63.8,,1.94,1.94,15.8,15.8,2.380,1.949,0.648,0.251,904,0,,0,,100.2,101.6,291.4,299.6,0.00473,0.00986,Rolls-Royce plc,Derby,06/05/2020,26/08/2020,Yes,EDNS01000945619,Improved nvPM combustor,,,,,,
04P24RR146,24,Rolls-Royce plc,Trent7000-72,Phase5 Tiled (Improved nvPM combustor),TF,9.1,44.6,327.9,C,,,DTEPS,Yes,,,0,0,0,0,5,3,0,0,0,0,0,0,0,0.31,0.50,0.79,6.99,5,3,9.4,1.3,8.36,10.87,10.2,8.6,3087,53.08,40.08,15.07,6.06,5,3,64.2,1.6,63.17,66.1,68.0,52.6,65.8,70.7,77.1,85.7,2.3.2 e),21064,6.6,8.8,4.2,1.7,5,3,10,1.6,8.6,11.7,11.0,64.3,,1.94,1.94,15.8,15.8,2.477,2.024,0.667,0.256,931,0,,0,,100.2,101.6,291.4,299.6,0.00473,0.00986,Rolls-Royce plc,Derby,06/05/2020,26/08/2020,Yes,EDNS01000945619,Improved nvPM combustor,,,,,,
04P24RR147,24,Rolls-Royce plc,Trent7000-72C,Phase5 Tiled (Improved nvPM combustor),TF,9.1,44.6,327.9,C,,,DTEPS,Yes,,,0,0,0,0,5,3,0,0,0,0,0,0,0,0.31,0.50,0.79,6.99,5,3,9.4,1.3,8.36,10.87,10.2,8.6,3087,53.08,40.08,15.07,6.06,5,3,64.2,1.6,63.17,66.1,68.0,52.6,65.8,70.7,77.1,85.7,2.3.2 e),21064,6.6,8.8,4.2,1.7,5,3,10,1.6,8.6,11.7,11.0,64.3,,1.94,1.94,15.8,15.8,2.477,2.024,0.667,0.256,931,0,,0,,100.2,101.6,291.4,299.6,0.00473,0.00986,Rolls-Royce plc,Derby,06/05/2020,26/08/2020,Yes,EDNS01000945619,Improved nvPM combustor,,,,,,
04P24RR148,24,Rolls-Royce plc,Trent7000-72D,Phase5 Tiled (Improved nvPM combustor),TF,9.1,44.6,327.9,C,,,DTEPS,Yes,,,0,0,0,0,5,3,0,0,0,0,0,0,0,0.31,0.50,0.79,6.99,5,3,9.4,1.3,8.36,10.87,10.2,8.6,3087,53.08,40.08,15.07,6.06,5,3,64.2,1.6,63.17,66.1,68.0,52.6,65.8,70.7,77.1,85.7,2.3.2 e),21064,6.6,8.8,4.2,1.7,5,3,10,1.6,8.6,11.7,11.0,64.3,,1.94,1.94,15.8,15.8,2.477,2.024,0.667,0.256,931,0,,0,,100.2,101.6,291.4,299.6,0.00473,0.00986,Rolls-Royce plc,Derby,06/05/2020,26/08/2020,Yes,EDNS01000945619,Improved nvPM combustor,,,,,,
01P18RR121,18,Rolls-Royce plc,Trent XWB-75,Phase5 Tiled,TF,9.3,36.8,334.0,C/R,,,DTEPS,Yes,,,0,0,0.01,1.42,6,3,1.8,0.3,1.59,2.1,2.1,10.7,600,0.39,0.41,1.56,25.26,6,3,33.1,2.6,30.28,35.32,35.8,30.3,11049,36.23,28.29,10.13,4.06,6,3,43.5,1.7,41.72,45,46.0,40.5,50.7,57.1,63.5,72.3,2.3.2 e),14512,6.2,7.6,6,1.7,6,3,10.3,2.2,7.8,12.1,11.3,66.3,,1.87,1.87,17.3,17.3,2.411,1.980,0.715,0.270,955,0,,0,,98.5,101.9,280,295,0.00062,0.00964,Rolls-Royce,Derby,01/04/2012,20/04/2016,Yes,Data from Certification Report EDNS01000588237 Iss 2,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P18RR122,18,Rolls-Royce plc,Trent XWB-79B,Phase5 Tiled,TF,9.2,38.8,355.2,C/R,,,DTEPS,Yes,,,0,0,0.01,1.22,6,3,1.5,0.2,1.34,1.77,1.8,8.9,534,0.39,0.4,1.36,23.37,6,3,29.8,2.5,27.12,31.92,32.3,27.3,10597,40.2,30.88,10.59,4.23,6,3,47.4,1.6,45.6,48.8,50.2,42.7,53.4,59.3,65.6,74.1,2.3.2 e),16834,5.8,7,6.5,1.6,6,3,10.3,2.2,7.8,12.1,11.3,67.4,,1.87,1.87,17.3,17.3,2.601,2.129,0.755,0.280,1008,0,,0,,98.5,101.9,280,295,0.00062,0.00964,Rolls-Royce,Derby,01/04/2012,20/04/2016,Yes,Data from Certification Report EDNS01000588237 Iss 2,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P18RR123,18,Rolls-Royce plc,Trent XWB-79,Phase5 Tiled,TF,9.2,38.8,355.2,C/R,,,DTEPS,Yes,,,0,0,0.01,1.22,6,3,1.5,0.2,1.34,1.77,1.8,8.9,534,0.39,0.4,1.36,23.37,6,3,29.8,2.5,27.12,31.92,32.3,27.3,10597,40.2,30.88,10.59,4.23,6,3,47.4,1.6,45.6,48.8,50.2,42.7,53.4,59.3,65.6,74.1,2.3.2 e),16834,5.8,7,6.5,1.6,6,3,10.3,2.2,7.8,12.1,11.3,67.4,,1.87,1.87,17.3,17.3,2.601,2.129,0.755,0.280,1008,0,,0,,98.5,101.9,280,295,0.00062,0.00964,Rolls-Royce,Derby,01/04/2012,20/04/2016,Yes,Data from Certification Report EDNS01000588237 Iss 2,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P18RR124,18,Rolls-Royce plc,Trent XWB-84,Phase5 Tiled,TF,9.0,41.1,379.0,C/R,,,DTEPS,Yes,,,0,0,0.01,1.03,6,3,1.2,0.2,1.11,1.47,1.4,7.4,468,0.39,0.39,1.18,21.46,6,3,26.7,2.3,24.1,28.61,28.9,24.5,10122,45.24,34.2,11.12,4.41,6,3,52.5,1.6,50.72,53.64,55.6,45.5,56.9,62.4,68.6,76.9,2.3.2 e),19903,5.5,6.4,7.1,1.6,6,3,10.3,2.2,7.8,12.1,11.3,68.6,,1.87,1.87,17.3,17.3,2.819,2.306,0.801,0.291,1069,0,,0,,98.5,101.9,280,295,0.00062,0.00964,Rolls-Royce,Derby,01/04/2012,20/04/2016,Yes,Data from Certification Report EDNS01000588237 Iss 2,"Certification in accordance with Part III, Chapter 2, of Amendment 8 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,,
01P21RR125,21,Rolls-Royce plc,Trent XWB-97,Phase5 Tiled (improved),TF,8.1,48.4,436.7,C,,,DTEPS,Yes,,,0,0,0,0.01,5,3,0.0,0.0,0,0.03,0.0,0.1,5,0.36,0.40,0.82,7.75,5,3,9.2,1.5,7.44,10.28,9.9,8.4,4016,66.05,48.51,14.86,5.64,5,3,76.8,0.9,75.77,77.36,81.3,59.5,74.3,78.3,84.9,93.6,2.3.2 e),33540,9.3,6.9,6.5,1.3,5,3,9.3,0.2,9.1,9.5,10.2,64.8,,1.95,1.95,15.20,15.20,3.498,2.798,0.918,0.301,1206,0,,0,,98.5,102,282.3,294.1,0.00304,0.00757,Rolls-Royce,Derby,10/04/2020,29/04/2020,Yes,Improved Smoke Combustor,Data from Certification Report EDNS01000886402,"Certification in accordance with Part III, Chapter 2, of Amendment 9 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,
13ZM002,13,IVCHENKO PROGRESS ZMBK,D-36 ser. 4A,,TF,5,19.9,63.8,C,,,NME/DTEPS,Yes,,,0,0,0,5.4,7,3,12,0.8,11.2,13,14,71.4,,0.5,0.4,2.7,20.7,7,3,48.8,3,42.2,52,48.8,41.4,,26,22,9,5.5,7,3,56.3,2.5,54.5,59,59.6,74.7,93.4,106.2,113.6,129.8,,,14.8,,,,7,3,14.8,,,,17.4,65.0,RT,1.95,1.95,18.5,18.5,0.634,0.533,0.211,0.092,265,0,,0,,99.9,101.5,268,295,0.0017,0.0083,IVCHENKO PROGRESS ZMBK,ZAPOROJE,17/05/1984,10/12/1984,Yes,Applicable NOx regulation paragraph 2.3.2 a) (Original),,,,,,,
13ZM003,13,IVCHENKO PROGRESS ZMBK,D-436-148 F1,,TF,4.9,19.8,64.4,C,,,NME/DTEPS,Yes,,,0.1,0.04,0.07,2.26,8,8,5.2,0.8,2.4,12.1,5.7,29.2,,0.54,0.54,2.99,23.46,8,8,56.0,3,39.8,85.5,58.7,49.8,,18.93,16,7.26,3.64,8,8,36.2,2.5,32.7,40.8,37.5,47.1,58.8,67.1,71.9,82.3,2.3.2 c),,6.7,,,,8,8,6.7,,5.8,8,7.2,27.0,RT,1.92,1.92,13.3,19.7,0.548,0.468,0.218,0.093,260,0,,0,,99.0,102.7,266,301,0.00248,0.01624,IVCHENKO PROGRESS ZMBK,ZAPOROJE,27/12/1991,28/07/2006,Yes,"NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)",,,,,,,
13ZM004,13,IVCHENKO PROGRESS ZMBK,D-436-148 F2,,TF,4.9,20.7,68.7,C,,,NME/DTEPS,Yes,,,0.09,0.05,0.08,1.39,8,8,3.3,,1.1,7.2,3.6,18.2,,0.48,0.4,2.71,19.56,8,8,46.1,,32.5,68.5,48.3,41.0,,19.76,16.64,7.31,3.78,8,8,38.0,,34.1,43.3,39.3,48.2,60.3,69.7,75.3,87.0,2.3.2 c),,6.7,,,,8,8,6.9,,6.2,8.2,7.4,28.2,RT,1.92,1.92,13.3,19.7,0.581,0.493,0.225,0.099,274,0,,0,,99.0,102.7,266,301,0.00248,0.01624,IVCHENKO PROGRESS ZMBK,ZAPOROJE,27/12/1991,28/07/2006,Yes,"NOx levels in accordance with Part III, Chapter 2, 2.3.2 c) (CAEP/4)",,,,,,,
